pathway,overlap_genes,overlap_count,pathway_size,enrichment_ratio,pvalue,rank,fdr
GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS,"SOX9, INS",2,92,25.58,0.0027214597768185768,477,0.01632875866091146
HP_ABNORMAL_ABDOMEN_MORPHOLOGY,"KCNJ11, SLC2A2, ABCC8, EIF2AK3",4,724,6.5,0.0027806457861190934,479,0.01661421344441095
HP_ABNORMALITY_OF_THYROID_PHYSIOLOGY,"KCNJ11, ABCC8, EIF2AK3",3,342,10.32,0.0028207503312380746,481,0.01678375768815669
GOBP_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS,"SOX9, GCK, INS",3,342,10.32,0.0028207503312380746,480,0.01681872385000702
GOBP_OLIGODENDROCYTE_DIFFERENTIATION,"SOX9, NKX6-1",2,94,25.03,0.0028388998131239937,482,0.01685670386962836
GOBP_RESPONSE_TO_ALKALOID,"HSPA5, PDX1",2,97,24.26,0.0030194797419324138,483,0.017891824060891445
GOBP_NEURON_DEATH,"DDIT3, ATF4, HSPA5",3,352,10.03,0.0030601256607955293,484,0.01809520587024133
HP_ABNORMAL_ILIUM_MORPHOLOGY,"SOX9, EIF2AK3",2,98,24.01,0.0030808479900421917,485,0.018180179273197428
REACTOME_SLC_TRANSPORTER_DISORDERS,"GCK, SLC2A2",2,99,23.77,0.0031428021708454473,488,0.018431761911802604
GOCC_CHROMOSOME,"DDIT3, ATF4, NKX6-1, MAFA, PDX1, SOX9",6,1852,3.81,0.0031546806272735595,489,0.018463590910545863
GOBP_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS,"INS, ATF4",2,99,23.77,0.0031428021708454473,487,0.018469609472196447
LIU_PROSTATE_CANCER_UP,"SOX9, ALDH1A3",2,99,23.77,0.0031428021708454473,486,0.018507612783867634
BENPORATH_ES_CORE_NINE_CORRELATED,"SOX9, ATF4",2,100,23.53,0.003205341363884614,492,0.018645705250889766
GOBP_NUCLEOTIDE_PHOSPHORYLATION,"GCK, INS",2,100,23.53,0.003205341363884614,491,0.018683680210667547
GOBP_REGULATION_OF_GLIOGENESIS,"NKX6-1, ABCC8",2,100,23.53,0.003205341363884614,490,0.018721810170281152
SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE,"DDIT3, ATF4",2,101,23.3,0.0032684646496865437,493,0.01897433230710525
GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,"GCK, INS",2,102,23.07,0.003332171109761645,497,0.019188478302088186
GOBP_REGULATION_OF_BIOMINERALIZATION,"SOX9, ATF4",2,102,23.07,0.003332171109761645,496,0.01922716475027788
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,"DDIT3, ATF4",2,102,23.07,0.003332171109761645,495,0.019266007507349147
GOBP_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS,"INS, ATF4",2,102,23.07,0.003332171109761645,494,0.01930500752254621
HP_AGITATION,"KCNJ11, ABCC8",2,103,22.84,0.0033964598266030153,500,0.01944133604747566
GOBP_INNER_EAR_MORPHOGENESIS,"SOX9, ALDH1A3",2,103,22.84,0.0033964598266030153,499,0.019480296640757174
REACTOME_POTASSIUM_CHANNELS,"KCNJ11, ABCC8",2,103,22.84,0.0033964598266030153,498,0.0195194137022848
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,"GCK, INS, ATF4, EIF2AK3",4,767,6.14,0.003425519534721835,501,0.019568536743261263
GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,"SOX9, INS",2,105,22.41,0.0035267803654652555,503,0.020066889475072687
WOO_LIVER_CANCER_RECURRENCE_UP,"DDIT3, SOX9",2,105,22.41,0.0035267803654652555,502,0.020106863358489168
WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME,"ATF4, EIF2AK3",2,106,22.2,0.003592810357378028,506,0.02032138980793659
GOBP_PYRUVATE_METABOLIC_PROCESS,"GCK, INS",2,106,22.2,0.003592810357378028,505,0.020361630183793892
HP_ABNORMAL_EATING_BEHAVIOR,"KCNJ11, ABCC8",2,106,22.2,0.003592810357378028,504,0.020402030243682374
GOMF_ATPASE_COUPLED_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,"KCNJ11, ABCC8",2,107,21.99,0.003659418945839159,511,0.020495610612508167
HELLER_SILENCED_BY_METHYLATION_DN,"DDIT3, ATF4",2,107,21.99,0.003659418945839159,510,0.020535798084297396
GOMF_RIBONUCLEOTIDE_BINDING,"ABCC8, ERN1, KCNJ11, GCK, EIF2AK3, HSPA5",6,1905,3.71,0.0036393456969321236,507,0.020543998786232226
GOBP_FEEDING_BEHAVIOR,"INS, IAPP",2,107,21.99,0.003659418945839159,509,0.020576143463637866
LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT,"SOX9, ALDH1A3",2,107,21.99,0.003659418945839159,508,0.020616647683054472
REACTOME_AMYLOID_FIBER_FORMATION,"INS, IAPP",2,108,21.79,0.0037266052182422945,513,0.02079053437545701
HP_SYNCOPE,"KCNJ11, ABCC8",2,108,21.79,0.0037266052182422945,512,0.020831140887909074
GOBP_LOCOMOTION,"ABCC8, XBP1, INS, NKX6-1, SOX9, HSPA5",6,1921,3.67,0.0037962451105250958,516,0.02105591764791245
HP_ABNORMAL_LIVER_MORPHOLOGY,"KCNJ11, SLC2A2, ABCC8, EIF2AK3",4,790,5.96,0.0038096203504577714,517,0.021089232965203368
HP_ABNORMALITY_OF_THE_TONGUE,"KCNJ11, SOX9, ABCC8",3,380,9.29,0.003796130417294271,515,0.021096165542322725
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS,"GCK, INS",2,109,21.59,0.0037943682629586082,514,0.02112739682604579
GOBP_MAPK_CASCADE,"ERN1, SOX9, INS, IAPP",4,792,5.94,0.0038443594020156745,518,0.02124045677329896
GOBP_CHONDROCYTE_DIFFERENTIATION,"SOX9, EIF2AK3",2,110,21.39,0.003862707169335946,519,0.02130070889911267
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,"XBP1, ATF4, INS, NKX6-1, SOX9",5,1320,4.46,0.0039376684540818555,522,0.021589285662035
LIM_MAMMARY_LUMINAL_MATURE_UP,"ERN1, ABCC8",2,111,21.2,0.003931621027697975,521,0.021597503610885995
GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,"SOX9, INS",2,111,21.2,0.003931621027697975,520,0.02163903727167616
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,"GCK, INS",2,112,21.01,0.004001108929343307,525,0.021811759534820084
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP,"SOX9, ALDH1A3",2,112,21.01,0.004001108929343307,524,0.02185338503011554
ROPERO_HDAC2_TARGETS,"INS, PDX1",2,112,21.01,0.004001108929343307,523,0.021895169705125325
GOBP_SENSORY_SYSTEM_DEVELOPMENT,"SOX9, ATF4, ALDH1A3",3,388,9.1,0.0040246612257895465,526,0.02189844187872563
GOMF_HEXOKINASE_ACTIVITY,GCK,1,5,235.29,0.004243204758962783,550,0.022080094582093607
REACTOME_INTESTINAL_ABSORPTION,SLC2A2,1,5,235.29,0.004243204758962783,549,0.02212031333360926
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION,INS,1,5,235.29,0.004243204758962783,548,0.02216067886888957
GOBP_NEGATIVE_REGULATION_OF_RESPIRATORY_BURST_INVOLVED_IN_INFLAMMATORY_RESPONSE,INS,1,5,235.29,0.004243204758962783,547,0.022201191992964324
GOBP_GROWTH_PLATE_CARTILAGE_CHONDROCYTE_DEVELOPMENT,SOX9,1,5,235.29,0.004243204758962783,546,0.02224185351676096
HP_HYPOPLASTIC_CERVICAL_VERTEBRAE,SOX9,1,5,235.29,0.004243204758962783,545,0.022282664257158687
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_GLUCOSE_DEPRIVATION,ATF4,1,5,235.29,0.004243204758962783,544,0.02232362503704317
HP_ABNORMAL_SCROTAL_RUGATION,SOX9,1,5,235.29,0.004243204758962783,543,0.02236473668536185
GOBP_REGULATION_OF_SODIUM_DEPENDENT_PHOSPHATE_TRANSPORT,ATF4,1,5,235.29,0.004243204758962783,542,0.02240600003717986
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_OXIDATIVE_STRESS,ATF4,1,5,235.29,0.004243204758962783,541,0.02244741593373657
HP_IVORY_EPIPHYSES_OF_THE_PHALANGES_OF_THE_HAND,EIF2AK3,1,5,235.29,0.004243204758962783,540,0.02248898522250275
GOBP_VASCULATURE_DEVELOPMENT,"DDIT3, EIF2AK3, ABCC8, XBP1",4,819,5.75,0.004334882703293605,551,0.022516214694784566
GOBP_POSITIVE_REGULATION_OF_VASCULAR_WOUND_HEALING,XBP1,1,5,235.29,0.004243204758962783,539,0.022530708757238376
GOBP_NEGATIVE_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,HSPA5,1,5,235.29,0.004243204758962783,538,0.022572587398051087
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX3,SOX9,1,5,235.29,0.004243204758962783,537,0.02261462201145528
REACTOME_IRS_ACTIVATION,INS,1,5,235.29,0.004243204758962783,536,0.022656813470431875
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS,"DDIT3, XBP1, INS, SOX9, HSPA5",5,1338,4.4,0.004174846895237571,527,0.022672508186280697
GOBP_ASPARAGINE_METABOLIC_PROCESS,ATF4,1,5,235.29,0.004243204758962783,535,0.022699162654488757
GOBP_CELLULAR_RESPONSE_TO_HEPARIN,SOX9,1,5,235.29,0.004243204758962783,534,0.02274167044972188
GOMF_FRUCTOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,SLC2A2,1,5,235.29,0.004243204758962783,533,0.02278433774887708
GOBP_COMMON_BILE_DUCT_DEVELOPMENT,SOX9,1,5,235.29,0.004243204758962783,532,0.022827165451412564
GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY,"KCNJ11, ABCC8",2,115,20.46,0.004213007821571779,528,0.0228364173964743
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_DN,SOX9,1,5,235.29,0.004243204758962783,531,0.022870154463562116
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,"SOX9, HSPA5, IAPP",3,401,8.8,0.0044137462806117635,552,0.02288431495491099
GOBP_NEURON_DIFFERENTIATION,"XBP1, ATF4, NKX6-1, SOX9, HSPA5",5,1356,4.34,0.0044222764753635915,553,0.022887080058753343
GOBP_FATTY_ACID_METABOLIC_PROCESS,"SOX9, INS, XBP1",3,395,8.94,0.0042314225369168654,529,0.022892875804642852
HP_ABSENT_STERNAL_OSSIFICATION,SOX9,1,5,235.29,0.004243204758962783,530,0.022913305698399028
GOBP_REGULATION_OF_METAL_ION_TRANSPORT,"GCK, ATF4, ABCC8",3,403,8.76,0.004475574248364551,554,0.023121107398590874
GOBP_POSITIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING,"INS, IAPP",2,119,19.77,0.004503521326223551,555,0.023223564028201447
GOBP_TRANSLATIONAL_INITIATION,"ATF4, EIF2AK3",2,120,19.61,0.004577568977598541,556,0.023562953981811192
GOMF_UNFOLDED_PROTEIN_BINDING,"ERN1, HSPA5",2,121,19.45,0.004652182537676529,558,0.023861194306147356
GOBP_REGULATION_OF_DNA_BINDING,"DDIT3, PDX1",2,121,19.45,0.004652182537676529,557,0.023904033075099147
GOCC_INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE,"ERN1, HSPA5, EIF2AK3",3,411,8.59,0.004728191130002947,563,0.0240356714281855
GOMF_HORMONE_ACTIVITY,"INS, IAPP",2,122,19.29,0.0047273611074587505,562,0.024074212614852212
GOMF_POTASSIUM_CHANNEL_ACTIVITY,"KCNJ11, ABCC8",2,122,19.29,0.0047273611074587505,561,0.024117125649816298
GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT,"INS, SLC2A2",2,122,19.29,0.0047273611074587505,560,0.024160191945619542
MARTENS_TRETINOIN_RESPONSE_DN,"DDIT3, ATF4, HSPA5, XBP1",4,839,5.61,0.004724746156916776,559,0.024190024152228644
GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS,"GCK, INS",2,123,19.13,0.004803103788912005,567,0.024244238172603454
HP_RESTLESSNESS,"KCNJ11, ABCC8",2,123,19.13,0.004803103788912005,566,0.02428707251566459
GOBP_GLAND_MORPHOGENESIS,"SOX9, XBP1",2,123,19.13,0.004803103788912005,565,0.024330058484718864
GOBP_EAR_MORPHOGENESIS,"SOX9, ALDH1A3",2,123,19.13,0.004803103788912005,564,0.024373196886287515
GOBP_LENS_FIBER_CELL_MORPHOGENESIS,ATF4,1,6,196.08,0.005089809686149464,595,0.0244824123054786
HP_ABNORMAL_BLOOD_MONOVALENT_INORGANIC_CATION_CONCENTRATION,"SLC2A2, EIF2AK3",2,127,18.53,0.005111697704519334,597,0.024505324673926857
GOBP_NEURAL_CREST_CELL_FATE_COMMITMENT,SOX9,1,6,196.08,0.005089809686149464,594,0.024523628487811054
GOMF_TRANSMEMBRANE_TRANSPORTER_BINDING,"KCNJ11, ABCC8",2,127,18.53,0.005111697704519334,596,0.024546440990493846
GOBP_NEGATIVE_REGULATION_OF_RESPIRATORY_BURST,INS,1,6,196.08,0.005089809686149464,593,0.02456498367919016
GOBP_ANTERIOR_HEAD_DEVELOPMENT,SOX9,1,6,196.08,0.005089809686149464,592,0.02460647858405366
GOBP_CELLULAR_RESPONSE_TO_NITROSATIVE_STRESS,DDIT3,1,6,196.08,0.005089809686149464,591,0.02464811391160705
GOBP_REGULATION_OF_PHOSPHATE_TRANSPORT,ATF4,1,6,196.08,0.005089809686149464,590,0.02468989037586401
GOBP_REGULATION_OF_GLYCOGEN_CATABOLIC_PROCESS,INS,1,6,196.08,0.005089809686149464,589,0.02473180869568721
GOBP_CHONDROCYTE_HYPERTROPHY,SOX9,1,6,196.08,0.005089809686149464,588,0.024773869594829533
GOBP_NEGATIVE_REGULATION_OF_FEEDING_BEHAVIOR,INS,1,6,196.08,0.005089809686149464,587,0.02481607380197575
HP_ABNORMALLY_SHAPED_CARPAL_BONES,EIF2AK3,1,6,196.08,0.005089809686149464,586,0.024858422050784583
GOBP_METANEPHRIC_TUBULE_FORMATION,SOX9,1,6,196.08,0.005089809686149464,585,0.024900915079931224
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION,NKX6-1,1,6,196.08,0.005089809686149464,584,0.024943553633150286
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX,"ERN1, HSPA5",2,125,18.82,0.004956277899521679,568,0.024973358007801136
GOBP_RESPONSE_TO_IRON_II_ION,PDX1,1,6,196.08,0.005089809686149464,583,0.024986338459279188
GOBP_NEGATIVE_REGULATION_OF_CREB_TRANSCRIPTION_FACTOR_ACTIVITY,DDIT3,1,6,196.08,0.005089809686149464,582,0.025029270312302003
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_21,DDIT3,1,6,196.08,0.005089809686149464,581,0.025072349951393746
GOBP_OSSIFICATION,"SOX9, ATF4, EIF2AK3",3,419,8.42,0.00498936316257732,569,0.02509588290210244
HP_ABNORMALITY_OF_THE_EPIPHYSES_OF_THE_FEET,EIF2AK3,1,6,196.08,0.005089809686149464,580,0.025115578140965114
GOBP_FRUCTOSE_TRANSMEMBRANE_TRANSPORT,SLC2A2,1,6,196.08,0.005089809686149464,579,0.025158955650707714
GOMF_THYROID_HORMONE_BINDING,ALDH1A3,1,6,196.08,0.005089809686149464,578,0.025202483255639733
GOBP_RESPONSE_TO_ACID_CHEMICAL,"XBP1, PDX1",2,129,18.24,0.0052693560543137456,598,0.025218891350244046
ISHIDA_TARGETS_OF_SYT_SSX_FUSIONS,DDIT3,1,6,196.08,0.005089809686149464,577,0.025246161736152108
HP_TACHYCARDIA,"KCNJ11, ABCC8",2,126,18.67,0.005033707537431965,570,0.02527451047742155
GOBP_NEGATIVE_REGULATION_OF_TYPE_B_PANCREATIC_CELL_APOPTOTIC_PROCESS,PDX1,1,6,196.08,0.005089809686149464,576,0.02528999187805515
GOBP_AMYLIN_RECEPTOR_SIGNALING_PATHWAY,IAPP,1,6,196.08,0.005089809686149464,575,0.02533397447262568
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION,"SOX9, NKX6-1, INS, XBP1",4,867,5.43,0.005309860048279827,599,0.025370316290779408
GOBP_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS,SOX9,1,6,196.08,0.005089809686149464,574,0.025378110316654646
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,"ERN1, INS, GCK, EIF2AK3, SOX9",5,1400,4.2,0.005071853425381909,571,0.02542144396399829
GOBP_REGULATION_OF_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS,SOX9,1,6,196.08,0.005089809686149464,573,0.025422400212495228
GOBP_NEGATIVE_REGULATION_OF_RNA_POLYMERASE_II_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,DDIT3,1,6,196.08,0.005089809686149464,572,0.02546684496811148
GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,"GCK, INS",2,130,18.1,0.005349022453465369,600,0.02551483710302981
GOBP_WOUND_HEALING,"INS, ABCC8, XBP1",3,431,8.19,0.005397352854014487,601,0.02570253555439178
WP_ADIPOGENESIS,"DDIT3, INS",2,131,17.96,0.005429245814681583,604,0.025725995896719686
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT,"INS, HSPA5",2,131,17.96,0.005429245814681583,603,0.02576865923983199
GOCC_SARCOLEMMA,"KCNJ11, ABCC8",2,131,17.96,0.005429245814681583,602,0.02581146432162573
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,"INS, EIF2AK3",2,132,17.83,0.005510025248581262,606,0.026022594490824377
GOBP_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS,"SOX9, INS",2,132,17.83,0.005510025248581262,605,0.026065607043701772
HP_SCLEROSIS_OF_FINGER_PHALANX,EIF2AK3,1,7,168.07,0.005935737126148236,648,0.02621617230715471
GOBP_URETER_MORPHOGENESIS,SOX9,1,7,168.07,0.005935737126148236,647,0.026256691893409973
GOBP_RESPONSE_TO_OXIDATIVE_STRESS,"ERN1, INS, ATF4",3,436,8.09,0.005573155833661306,607,0.02627738384833387
GOBP_TRANSDIFFERENTIATION,PDX1,1,7,168.07,0.005935737126148236,646,0.0262973369273007
GOBP_REGULATION_OF_WOUND_HEALING,"ABCC8, XBP1",2,133,17.69,0.005591359866740408,608,0.026319855162189223
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN,SOX9,1,7,168.07,0.005935737126148236,645,0.026338107992304266
HP_TRACHEOBRONCHOMALACIA,SOX9,1,7,168.07,0.005935737126148236,644,0.026379005675522132
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT,ALDH1A3,1,7,168.07,0.005935737126148236,643,0.026420030567708013
GOBP_POSITIVE_REGULATION_OF_CHONDROCYTE_PROLIFERATION,SOX9,1,7,168.07,0.005935737126148236,642,0.026461183263296342
GOBP_RESPONSE_TO_RADIATION,"ATF4, HSPA5, ABCC8",3,438,8.06,0.005644440672269755,610,0.0264826052525181
GOBP_LACRIMAL_GLAND_DEVELOPMENT,SOX9,1,7,168.07,0.005935737126148236,641,0.02650246436043097
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,"NKX6-1, ABCC8, EIF2AK3",3,439,8.04,0.005680290221092062,613,0.026520376203532595
WP_VEGFAVEGFR2_SIGNALING_PATHWAY,"ERN1, ATF4, EIF2AK3",3,438,8.06,0.005644440672269755,609,0.02652609064702141
GOBP_RESPONSE_TO_PURINE_CONTAINING_COMPOUND,"KCNJ11, HSPA5",2,134,17.56,0.0056732487816913025,612,0.026530781067321093
GOBP_SODIUM_DEPENDENT_PHOSPHATE_TRANSPORT,ATF4,1,7,168.07,0.005935737126148236,640,0.026543874460994144
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,"GCK, INS",2,134,17.56,0.0056732487816913025,611,0.02657420296759494
GOBP_PLASMA_CELL_DIFFERENTIATION,XBP1,1,7,168.07,0.005935737126148236,639,0.02658541417063576
GOBP_INTESTINAL_EPITHELIAL_STRUCTURE_MAINTENANCE,SOX9,1,7,168.07,0.005935737126148236,638,0.026627084098802902
GOBP_RESPONSE_TO_LIPID,"PDX1, SOX9, ABCC8, XBP1",4,887,5.31,0.005756763504907976,618,0.02665996302758354
GOBP_RESPONSE_TO_HEPARIN,SOX9,1,7,168.07,0.005935737126148236,637,0.026668884858769625
GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,"SOX9, ATF4",2,135,17.43,0.005755691106921657,617,0.026698197646693324
HP_ABNORMAL_CIRCULATING_FREE_FATTY_ACID_CONCENTRATION,ABCC8,1,7,168.07,0.005935737126148236,636,0.026710817067667064
HP_ABNORMAL_CIRCULATING_NITROGEN_COMPOUND_CONCENTRATION,"SLC2A2, EIF2AK3",2,135,17.43,0.005755691106921657,616,0.026741538876639256
GOBP_CELLULAR_TRIGLYCERIDE_HOMEOSTASIS,XBP1,1,7,168.07,0.005935737126148236,635,0.026752881346513782
HP_HYPERHIDROSIS,"KCNJ11, ABCC8",2,135,17.43,0.005755691106921657,615,0.026785021053674442
GOBP_REGULATION_OF_PHOTORECEPTOR_CELL_DIFFERENTIATION,SOX9,1,7,168.07,0.005935737126148236,634,0.026795078320246454
GOBP_MAMMARY_GLAND_DEVELOPMENT,"SOX9, XBP1",2,135,17.43,0.005755691106921657,614,0.026828644866465443
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,"KCNJ11, ATF4, HSPA5, PDX1",4,901,5.22,0.006084353787758192,649,0.02683115645695523
WP_MRNA_PROTEIN_AND_METABOLITE_INDUCATION_PATHWAY_BY_CYCLOSPORIN_A,ATF4,1,7,168.07,0.005935737126148236,633,0.02683740861775079
GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS,SOX9,1,7,168.07,0.005935737126148236,632,0.026879872871892804
GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,"DDIT3, NKX6-1, INS",3,451,7.83,0.00612131620389084,651,0.026911224232773555
ZHAN_EARLY_DIFFERENTIATION_GENES_UP,XBP1,1,7,168.07,0.005935737126148236,631,0.02692247171955032
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT,"SOX9, ATF4, ALDH1A3",3,451,7.83,0.00612131620389084,650,0.02695262611620859
HP_SHORTENING_OF_ALL_MIDDLE_PHALANGES_OF_THE_FINGERS,EIF2AK3,1,7,168.07,0.005935737126148236,630,0.026965205801644843
GOBP_RESPONSE_TO_OXYGEN_GLUCOSE_DEPRIVATION,ATF4,1,7,168.07,0.005935737126148236,629,0.02700807576317369
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION,HSPA5,1,7,168.07,0.005935737126148236,628,0.027051082253242438
GOBP_TRACHEA_CARTILAGE_DEVELOPMENT,SOX9,1,7,168.07,0.005935737126148236,627,0.02709422592509769
GOBP_SMOOTHENED_SIGNALING_PATHWAY,"NKX6-1, PDX1",2,140,16.81,0.006176172926109624,652,0.027110746801419852
GOBP_RESPONSE_TO_FRUCTOSE,XBP1,1,7,168.07,0.005935737126148236,626,0.027137507436160148
HP_ABNORMALITY_OF_THE_THYROID_GLAND,"KCNJ11, ABCC8, EIF2AK3",3,453,7.79,0.006196775347721432,653,0.027159526868573872
HP_PANCREATIC_ISLET_CELL_ADENOMA,MAFA,1,7,168.07,0.005935737126148236,625,0.027180927448058004
GOBP_EXOCRINE_PANCREAS_DEVELOPMENT,PDX1,1,7,168.07,0.005935737126148236,624,0.02722448662666066
HP_ABNORMAL_ENCHONDRAL_OSSIFICATION,"SOX9, EIF2AK3",2,137,17.17,0.005922232446943716,622,0.027249886275165457
GOBP_LUTEOLYSIS,HSPA5,1,7,168.07,0.005935737126148236,623,0.027268185642112763
MITSIADES_RESPONSE_TO_APLIDIN_UP,"DDIT3, INS, EIF2AK3",3,445,7.93,0.00589829718115553,619,0.027271286805278076
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP,"DDIT3, ERN1",2,137,17.17,0.005922232446943716,621,0.02729376692939278
KEGG_INSULIN_SIGNALING_PATHWAY,"GCK, INS",2,137,17.17,0.005922232446943716,620,0.027337789134117604
HP_ABNORMAL_CONSUMPTION_BEHAVIOR,"KCNJ11, ABCC8",2,141,16.69,0.006261917149657032,654,0.027403068627398202
GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,"DDIT3, SOX9",2,142,16.57,0.006348208604579419,655,0.027738279429475265
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_DN,SOX9,1,8,147.06,0.006780987587252397,685,0.02833165908717717
GOBP_RIGHTING_REFLEX,ALDH1A3,1,8,147.06,0.006780987587252397,684,0.02837307964139819
GOBP_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,"SOX9, INS",2,144,16.34,0.006522429693900845,657,0.02841277592685574
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN,DDIT3,1,8,147.06,0.006780987587252397,683,0.028414621485675494
GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY,"KCNJ11, ABCC8",2,144,16.34,0.006522429693900845,656,0.028456088085280825
GOBP_REGULATION_OF_PROTEIN_FOLDING,HSPA5,1,8,147.06,0.006780987587252397,682,0.02845628515354305
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING,"DDIT3, SOX9, ATF4",3,469,7.53,0.006820769231812611,686,0.02845632877762054
GOMF_RETINAL_DEHYDROGENASE_ACTIVITY,ALDH1A3,1,8,147.06,0.006780987587252397,681,0.028498071181668666
GOBP_REGULATION_OF_BLOOD_BRAIN_BARRIER_PERMEABILITY,ABCC8,1,8,147.06,0.006780987587252397,680,0.028539980109877003
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,"NKX6-1, ABCC8",2,145,16.23,0.006610357573344589,662,0.028578313255154402
GOBP_REGULATION_OF_MESENCHYMAL_STEM_CELL_DIFFERENTIATION,SOX9,1,8,147.06,0.006780987587252397,679,0.028582012481172845
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS,"ERN1, INS, EIF2AK3, SOX9, HSPA5",5,1488,3.95,0.006574281720264955,658,0.028595128090270976
GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY,"KCNJ11, ABCC8",2,145,16.23,0.006610357573344589,661,0.02862154822225751
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION,DDIT3,1,8,147.06,0.006780987587252397,678,0.028624168841764545
HP_PRENATAL_MATERNAL_ABNORMALITY,"KCNJ11, ABCC8",2,148,15.9,0.006877400040946751,687,0.02865082811817991
