pert_iname,quality_score,moa,canonical_smiles,pert_id,cell_id,pert_dose,pert_time,name_relevance,connectivity_score
BRD-K30064966,1.0,,Oc1cccc2cc(C(=O)Nc3cccc(c3)-c3cn4ccccc4n3)c(=O)oc12,BRD-K30064966,A375,11.1,24,0,0.7
BRD-K30058879,1.0,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccncc2)Oc3ncc(cc3C1=O)C4=CCCCC4,BRD-K30058879,VCAP,10.014,24,0,0.7
BRD-K30055322,1.0,,O[C@H]1COC[C@@H]2O[C@H](CC(=O)Nc3nccs3)CC[C@H]2N(Cc2ccc(Oc3ccccc3)cc2)C1,BRD-K30055322,VCAP,10.106,24,0,0.7
BRD-K30040610,1.0,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCC2)Oc3cc(C#CCN(C)C)ccc3S1(=O)=O,BRD-K30040610,VCAP,10.025,24,0,0.7
BRD-K99502566,1.0,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4c(NC(=O)Nc5ccccc5)cccc4C1=O,BRD-K99502566,A549,10.0,6,0,0.7
BRD-K99530743,1.0,,CC1(C)Oc2c(C=C1)ccc(O)c2C(=O)\C=C\c1ccccc1,BRD-K99530743,A375,10.0,24,0,0.7
BRD-K99605820,1.0,,O=C(NCc1cccc2ccccc12)c3cccs3,BRD-K99605820,A375,10.0,24,0,0.7
BRD-K99839793,1.0,,CCCN(C)C[C@H]1Oc2ncc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)c3cccnc3,BRD-K99839793,VCAP,10.0,24,0,0.7
BRD-K99633092,1.0,,OC(c1ccc(NS(=O)(=O)c2ccc(Cl)c3nonc23)cc1)(C(F)(F)F)C(F)(F)F,BRD-K99633092,A549,10.0,6,0,0.7
BRD-K99636700,1.0,,-666,BRD-K99636700,MCF7,0.15625,24,0,0.7
BRD-K99638701,1.0,,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)CCC(F)(F)F)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34,BRD-K99638701,VCAP,5.02,24,0,0.7
BRD-K99692850,1.0,,COc1ccccc1CNC(=O)C[C@H]2C[C@H]3[C@H](Oc4ccc(NC(=O)Nc5ccccc5F)cc34)[C@H](CO)O2,BRD-K99692850,PC3,10.1509,24,0,0.7
BRD-K99718824,1.0,,COc1cccc(NC(=O)N(C)C[C@H]2OCc3ccccc3-c4c(C(=O)N(C[C@@H]2C)[C@H](C)CO)n(C)c5ccccc45)c1,BRD-K99718824,VCAP,5.01,24,0,0.7
BRD-K99737413,1.0,,CC(C)c1cccc(C(C)C)c1NC(=O)c1ccc(o1)-c1cc(Cl)ccc1Cl,BRD-K99737413,A375,10.0,24,0,0.7
BRD-K99750259,1.0,,COC(=O)c1ccc(CSc2nc3CCCc3c(O)n2)cc1,BRD-K99750259,A549,10.0,6,0,0.7
BRD-K99750636,1.0,,COc1ccc2c3c([nH]c2c1)[C@H](CO)N(Cc1ccccn1)C[C@]31CCN(CC1)C(C)=O,BRD-K99750636,PC3,10.0102,24,0,0.7
BRD-K99756483,1.0,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc4ccc(NC(=O)Cc5cn(C)c6ccccc56)cc4C1=O,BRD-K99756483,A549,10.0,6,0,0.7
BRD-K99830292,1.0,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccccc2F)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4,BRD-K99830292,VCAP,10.058,24,0,0.7
BRD-K29911749,1.0,,N[C@@H]1CC[C@@H](CCn2cc(nn2)-c2ccccn2)O[C@H]1CO,BRD-K29911749,VCAP,5.05,24,0,0.7
CA-074-Me,1.0,,CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](C(C)CC)C(=O)N2CCC[C@H]2C(=O)OC,BRD-A56020723,A375,10.0,24,0,0.7
BRD-K29649571,1.0,,O[C@@H]1COC[C@@H]2O[C@H](CC(=O)Nc3nccs3)CC[C@H]2N(Cc2ccc(Oc3ccccc3)cc2)C1,BRD-K29649571,VCAP,10.015,24,0,0.7
CI-976,1.0,,CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC,BRD-K88544581,A375,80.0,24,0,0.7
CAM-9-026,1.0,,C[C@@H](COC(=O)C(C)(C)C)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(F)cc2)OCCCC[C@H](C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C1=O,BRD-K91442916,A375,10.0,24,0,0.7
CGP-20712,1.0,,Cn1cc(nc1c2ccc(OCC(O)CNCCOc3ccc(O)c(c3)C(=O)N)cc2)C(F)(F)F,BRD-A31575449,HA1E,10.0,24,0,0.7
CGP-37157,1.0,,Clc1ccc2NC(=O)CSC(c3ccccc3Cl)c2c1,BRD-A35623999,HA1E,10.0,24,0,0.7
CGP-52411,1.0,,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc12,BRD-K13087974,A549,10.0,6,0,0.7
BRD-K29407738,1.0,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2ccncc2)Oc3cc(ccc3S1(=O)=O)C4=CCCC4,BRD-K29407738,PC3,10.0732,24,0,0.7
BRD-K29392278,1.0,,COc1cccc(c1)S(=O)(=O)N1CCCCN2[C@H](CO)[C@H]([C@H]2C1)c1ccc(cc1)-c1cncnc1,BRD-K29392278,VCAP,10.08,24,0,0.7
CGP-52432,1.0,,CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1,BRD-A04668240,HA1E,10.0,24,0,0.7
CGP-53353,1.0,,Fc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc2ccc(F)cc2)cc1,BRD-K32292990,HEPG2,10.0,24,0,0.7
CGP-54626,1.0,,CC(NCC(O)CP(=O)(O)CC1CCCCC1)c2ccc(Cl)c(Cl)c2,BRD-A55369275,A375,10.0,24,0,0.7
CGP-55845,1.0,,C[C@H](NC[C@H](O)CP(O)(=O)Cc1ccccc1)c1ccc(Cl)c(Cl)c1,BRD-A89672324,HA1E,10.0,24,0,0.7
CGP-57380,1.0,,Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12,BRD-K42500029,MCF7,10.0,6,0,0.7
CGP-60474,1.0,,OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2,BRD-K79090631,MCF7,10.0,6,0,0.7
CGP-71683,1.0,,Nc1nc(NCC2CCC(CNS(=O)(=O)c3cccc4ccccc34)CC2)nc5ccccc15,BRD-K31912990,HA1E,10.0,24,0,0.7
CGP-7930,1.0,,CC(C)(CO)Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,BRD-K65786282,HA1E,10.0,24,0,0.7
CGS-12066B,1.0,,CN1CCN(CC1)c2nc3cc(ccc3n4cccc24)C(F)(F)F,BRD-K18909381,PC3,10.0,24,0,0.7
CGS-15943,1.0,,Nc1nc2ccc(Cl)cc2c2nc(nn12)-c1ccco1,BRD-K49049886,MCF7,10.0,24,0,0.7
BRD-K29345712,1.0,,OCCOc1ccc(cc1)[C@H]2N3[C@@H]([C@@H](C(=O)N4CCCCCCC4)[C@]25C(=O)Nc6ccc(C#CC7=CCCCC7)cc65)C(=O)O[C@@H]([C@@H]3c8ccccc8)c9ccccc9,BRD-K29345712,A549,10.0,6,0,0.7
CGS-20625,1.0,,COc1ccc(cc1)-n1nc2c3CCCCCc3[nH]cc2c1=O,BRD-K68103045,HA1E,10.0,24,0,0.7
CGS-21680,1.0,,CCNC(=O)C1OC(C(O)C1O)n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc23,BRD-A81866333,NEU,10.0,24,0,0.7
